SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,LNG,LAT
400009,GLOBAL CITIZENSHIP CHTR,"4647 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.7400974361,41.807578508
400010,ACE TECHNICAL CHTR HS,"5410 S State St, 60609",HS,"9, 10, 11, 12",Charter,-87.6258490371,41.79612151
400011,"LOCKE, A CHTR","3141 W Jackson Blvd, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7052345263,41.877248353
400012,AMANDLA CHTR HS,"6800 S Stewart Ave, 60621",HS,"5, 6, 7, 8, 9, 10, 11",Charter,-87.6354715693,41.7708022549
400013,ASPIRA CHTR - EARLY COLLEGE HS,"3986 W Barry Ave, 60618",HS,"9, 10, 11, 12",Charter,-87.7270956582,41.9372982854
400015,ASPIRA CHTR - RAMIREZ HS,"1711 N California Ave, 60647",HS,12,Charter,-87.6955218301,41.9124976075
400017,ASPIRA CHTR - HAUGAN,"3729 W Leland Ave, 60625",ES,"6, 7, 8",Charter,-87.7218246656,41.9664056681
400018,AUSTIN BUS & ENTRP HS,"231 N Pine Ave, 60644",HS,"9, 10, 11, 12",District,-87.7618910169,41.8842046721
400019,BRONZEVILLE LIGHTHOUSE CHTR,"8 W Root St, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6266218015,41.8192766112
400020,CATALYST CHTR - HOWLAND,"1616 S Spaulding Ave, 60623",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7076985188,41.8585532887
400021,CATALYST CHTR - CIRCLE ROCK,"5608 W Washington Blvd, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7653219783,41.8823222215
400022,CHGO ARTS CONTR HS,"2714 W Augusta Blvd, 60622",HS,"9, 10, 11, 12",Contract,-87.6949450113,41.8993765736
400023,CICS - AVALON / SOUTH SHORE,"1501 E 83rd Pl, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.5879276411,41.7431794208
400024,CICS - BASIL,"1816 W Garfield Blvd, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6702426574,41.7940428641
400025,CICS - BUCKTOWN,"2235 N Hamilton Ave, 60647",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6813579646,41.9224146303
400026,CICS - LOOMIS,"9535 S Loomis St, 60643",ES,"K, 1, 2",Charter,-87.6575610581,41.7202464236
400027,CICS - IRVING PARK,"3820 N Spaulding Ave, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7104924287,41.9508912753
400028,CICS - PRAIRIE,"11530 S Prairie Ave, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6168883821,41.6844330391
400029,CICS - WASHINGTON PARK,"6105 S Michigan Ave, 60637",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6220684545,41.783616847
400030,CICS - WEST BELDEN,"2245 N McVicker Ave, 60639",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7767485391,41.9216874956
400031,CICS - WRIGHTWOOD,"8130 S California Ave, 60652",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.692614399,41.745365451
400032,CICS - ELLISON,"1817 W 80th St, 60620",HS,"9, 10, 11, 12",Charter,-87.6689796393,41.7483824088
